Feedback,Ratings
Satisfied,Your Rating is 4.0
Unsatisfied,Your Rating is 1.5
Poor,Your Rating is 1.0
Nice,Your Rating is 3.0
Amazing,Your Rating is 5.0
Not good,Your Rating is 2.0
Very Poor,Your Rating is 0.5
Fantastic,Your Rating is 4.2
Pleased,Your Rating is 4.7
Disappointed,Your Rating is 1.8
Bad,Your Rating is 2.1
Stunning,Your Rating is 4.9
Fine,Your Rating is 3.5
Terrible,Your Rating is 1.5
Annoying,Your Rating is 2.0
Grateful,Your Rating is 4.7
Glad,Your Rating is 3.9
Tremendous,Your Rating is 5.0
Remarkable,Your Rating is 4.0
Affordable,Your Rating is 4.1
